epoch,binary_crossentropy,dice_coef,loss,val_binary_crossentropy,val_dice_coef,val_loss
0,0.623468637,0.597782731,0.597782731,0.647672594,0.534130454,0.534130454
1,0.849831164,0.534218907,0.534218907,0.736332238,0.511607528,0.511607528
2,1.099771976,0.474365145,0.474365145,1.218437433,0.490125179,0.490125179
3,1.307870746,0.429645568,0.429645568,1.503889322,0.456915528,0.456915528
4,1.492484689,0.393316776,0.393316776,1.835775137,0.430300623,0.430300623
5,1.673595905,0.358219922,0.358219922,2.059670925,0.431201696,0.431201696
6,1.817599535,0.331691384,0.331691384,2.130652189,0.429653555,0.429653555
7,1.942659736,0.308765441,0.308765441,2.152153254,0.378804743,0.378804743
8,2.054913521,0.288121521,0.288121521,2.270696878,0.380913943,0.380913943
9,2.127536535,0.273828387,0.273828387,2.241311312,0.361788571,0.361788571
10,2.202815533,0.261472017,0.261472017,2.303165913,0.338331521,0.338331521
11,2.281300545,0.247742563,0.247742563,2.494437456,0.335987628,0.335987628
12,2.349832535,0.238421768,0.238421768,2.498482943,0.331635654,0.331635654
13,2.419229984,0.228775442,0.228775442,2.559214115,0.305361688,0.305361688
14,2.476310492,0.220882669,0.220882669,2.637224674,0.315635145,0.315635145
15,2.529097319,0.214125901,0.214125901,2.682418823,0.288772851,0.288772851
16,2.559492588,0.208957732,0.208957732,2.692065001,0.274145871,0.274145871
17,2.597952366,0.202924535,0.202924535,2.697525501,0.271207094,0.271207094
18,2.648810387,0.196840361,0.196840361,2.664582729,0.263705343,0.263705343
19,2.702013254,0.188342556,0.188342556,2.70004487,0.247430205,0.247430205
20,2.708322525,0.187871978,0.187871978,2.8854599,0.251841605,0.251841605
21,2.738180637,0.182429031,0.182429031,2.812134266,0.242699906,0.242699906
22,2.786824703,0.177088872,0.177088872,2.914484978,0.246900991,0.246900991
23,2.77462554,0.175504297,0.175504297,2.826602697,0.2261419,0.2261419
24,2.801321745,0.171319366,0.171319366,2.957553864,0.228705645,0.228705645
25,2.840580463,0.166906893,0.166906893,2.935976267,0.227273062,0.227273062
26,2.852897406,0.164737999,0.164737999,2.974611044,0.21508494,0.21508494
27,2.893990993,0.160527006,0.160527006,2.975768328,0.225255162,0.225255162
28,2.897698641,0.157534704,0.157534704,3.074967861,0.212052226,0.212052226
29,2.934136391,0.153860033,0.153860033,3.148624897,0.210506409,0.210506409
30,2.938227654,0.153059289,0.153059289,3.089023113,0.203329325,0.203329325
31,2.958826542,0.151121303,0.151121303,3.068111181,0.205971032,0.205971032
32,2.980586529,0.146953791,0.146953791,3.15259409,0.196522027,0.196522027
33,2.983872414,0.146045357,0.146045357,3.080482483,0.187349945,0.187349945
34,3.026422977,0.142368495,0.142368495,3.079124689,0.190767661,0.190767661
35,3.04284358,0.141293675,0.141293675,3.158793449,0.191968888,0.191968888
36,3.045411348,0.139102414,0.139102414,3.201734543,0.192944244,0.192944244
37,3.068283319,0.137616381,0.137616381,3.179722309,0.190863058,0.190863058
38,3.095993042,0.13352856,0.13352856,3.217745304,0.180271938,0.180271938
39,3.094783545,0.133841664,0.133841664,3.251692533,0.183305517,0.183305517
0,3.13467598,0.129932344,0.129932344,3.209700346,0.180145696,0.180145696
1,3.161226749,0.127585828,0.127585828,3.286988497,0.182199031,0.182199031
2,3.176720858,0.127082109,0.127082109,3.217907429,0.167076737,0.167076737
3,3.17761302,0.124796629,0.124796629,3.293884754,0.176153928,0.176153928
4,3.191999912,0.122401401,0.122401401,3.310520649,0.169056416,0.169056416
5,3.203831196,0.122139931,0.122139931,3.306017637,0.171241671,0.171241671
6,3.218218088,0.120798461,0.120798461,3.303223372,0.165152401,0.165152401
7,3.255131483,0.11805322,0.11805322,3.312276125,0.167830467,0.167830467
8,3.262440205,0.11765103,0.11765103,3.381130695,0.167699188,0.167699188
9,3.273890495,0.115097187,0.115097187,3.343085051,0.15974763,0.15974763
10,3.26831913,0.11545749,0.11545749,3.364243031,0.160954803,0.160954803
11,3.297299147,0.113981411,0.113981411,3.3390522,0.16176331,0.16176331
12,3.313345671,0.1133449,0.1133449,3.380927324,0.156505615,0.156505615
13,3.323795557,0.111145765,0.111145765,3.393062115,0.159362406,0.159362406
14,3.335360765,0.110155515,0.110155515,3.446248531,0.162076473,0.162076473
15,3.325777292,0.110719509,0.110719509,3.344652653,0.155301571,0.155301571
16,3.358151436,0.109310903,0.109310903,3.363214016,0.150652736,0.150652736
17,3.363447666,0.107871555,0.107871555,3.382043839,0.14950487,0.14950487
18,3.391524553,0.10601531,0.10601531,3.357416868,0.144898981,0.144898981
19,3.389452219,0.106646821,0.106646821,3.453263521,0.152974725,0.152974725
20,3.417867661,0.104768775,0.104768775,3.382949829,0.150191441,0.150191441
21,3.432950497,0.103800945,0.103800945,3.440490246,0.147703499,0.147703499
22,3.434788227,0.103745185,0.103745185,3.52883482,0.144077688,0.144077688
23,3.447733164,0.102349259,0.102349259,3.590548038,0.145359069,0.145359069
24,3.461900234,0.101439327,0.101439327,3.472314835,0.145544678,0.145544678
25,3.471868515,0.100979969,0.100979969,3.464010954,0.14168331,0.14168331
26,3.491217852,0.101405099,0.101405099,3.489772797,0.136333913,0.136333913
27,3.515492439,0.098930016,0.098930016,3.62093854,0.14409484,0.14409484
28,3.513435125,0.098238342,0.098238342,3.503178835,0.147350103,0.147350103
29,3.509330988,0.098745249,0.098745249,3.566464663,0.141543895,0.141543895
30,3.52018714,0.097245224,0.097245224,3.56071806,0.138159126,0.138159126
31,3.513741493,0.098268054,0.098268054,3.546279192,0.138393104,0.138393104
32,3.545083046,0.096418858,0.096418858,3.622449875,0.141977116,0.141977116
33,3.574919701,0.095552199,0.095552199,3.564464569,0.134670705,0.134670705
34,3.567433119,0.095407657,0.095407657,3.548115253,0.134846911,0.134846911
35,3.580074787,0.094907448,0.094907448,3.560229063,0.13433066,0.13433066
36,3.569520235,0.094662897,0.094662897,3.538707256,0.140287623,0.140287623
37,3.588624477,0.093548581,0.093548581,3.514348984,0.135334447,0.135334447
38,3.618463755,0.092684582,0.092684582,3.600437641,0.136516064,0.136516064
39,3.613078356,0.092534684,0.092534684,3.563946247,0.133338273,0.133338273
0,3.631972551,0.092583254,0.092583254,3.607524157,0.134112895,0.134112895
1,3.623373032,0.092497252,0.092497252,3.555493593,0.140383497,0.140383497
2,3.652387142,0.090606362,0.090606362,3.626406431,0.135654092,0.135654092
3,3.654477119,0.090972111,0.090972111,3.69241643,0.127530336,0.127530336
4,3.688085318,0.08922603,0.08922603,3.61384654,0.135283366,0.135283366
5,3.66213131,0.090247221,0.090247221,3.629529953,0.134952813,0.134952813
6,3.673890114,0.089420967,0.089420967,3.650649309,0.140523508,0.140523508
7,3.691812038,0.087584428,0.087584428,3.679765701,0.133044004,0.133044004
